document_id,matter_name,custodian,keyword_hit_rate,concept_similarity,custodian_risk,email_thread_depth,recency_weight,privileged_terms_flag,outside_counsel_flag,work_product_flag,legal_hold_overlap,ground_truth_relevant,issue_antitrust,issue_bribery,issue_hr,issue_pricing
DOC-0001,Pricing Review,L. Rivera,0.4436,0.6951,1,7,0.5414,0,0,0,0,0,0,0,0,1
DOC-0002,Employment Dispute,S. Brooks,0.3666,0.6281,2,3,0.2876,0,0,0,1,0,0,0,1,0
DOC-0003,Employment Dispute,S. Brooks,0.8627,0.3968,3,3,0.1988,0,0,0,0,1,0,0,1,0
DOC-0004,Internal Investigation,L. Rivera,0.5535,0.6518,4,9,0.5125,1,0,0,0,1,0,1,0,0
DOC-0005,Internal Investigation,L. Rivera,0.5578,0.5605,2,1,0.7377,0,0,0,1,1,0,1,0,0
DOC-0006,US Antitrust Inquiry,M. Patel,0.6894,0.4404,3,0,0.3023,0,0,0,0,0,1,0,0,0
DOC-0007,US Antitrust Inquiry,S. Brooks,0.6619,0.6013,4,7,0.5973,0,0,0,1,1,1,0,0,0
DOC-0008,US Antitrust Inquiry,R. Singh,0.5084,0.4905,2,4,0.1705,0,0,0,1,0,1,0,0,0
DOC-0009,Internal Investigation,J. Kim,0.3836,0.6882,5,6,0.382,0,0,0,0,0,0,1,0,0
DOC-0010,US Antitrust Inquiry,A. Chen,0.9375,0.8203,3,7,0.8231,0,0,0,1,1,1,0,0,0
DOC-0011,Internal Investigation,S. Brooks,0.7102,0.7609,2,5,0.2693,0,0,1,0,1,0,1,0,0
DOC-0012,Employment Dispute,M. Patel,0.2521,0.3825,1,1,0.5407,0,0,1,0,0,0,0,1,0
DOC-0013,Pricing Review,A. Chen,0.7442,0.3975,2,10,0.5906,0,1,0,0,1,0,0,0,1
DOC-0014,Pricing Review,M. Patel,0.591,0.6114,4,5,0.3694,0,0,0,0,1,0,0,0,1
DOC-0015,Pricing Review,A. Chen,0.5813,0.491,2,6,0.2013,0,0,1,0,0,0,0,0,1
DOC-0016,US Antitrust Inquiry,S. Brooks,0.7122,0.5182,4,8,0.21,1,1,0,0,1,1,0,0,0
DOC-0017,Internal Investigation,M. Patel,0.7461,0.8507,3,3,0.332,1,0,0,0,1,0,1,0,0
